主题标签,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
人工智能、芯片与算力,C-BEL-85FA86A1D8,2025-12-12,W3,研究报告与论文,"Code, Command, and Conflict: Charting the Future of Military AI",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85FA86A1D8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85FA86A1D8.txt,https://www.belfercenter.org/research-analysis/code-command-and-conflict-charting-future-military-ai
网络安全与数字治理,C-BEL-85FA86A1D8,2025-12-12,W3,研究报告与论文,"Code, Command, and Conflict: Charting the Future of Military AI",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85FA86A1D8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85FA86A1D8.txt,https://www.belfercenter.org/research-analysis/code-command-and-conflict-charting-future-military-ai
技术供应链与出口管制,C-BEL-85FA86A1D8,2025-12-12,W3,研究报告与论文,"Code, Command, and Conflict: Charting the Future of Military AI",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85FA86A1D8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85FA86A1D8.txt,https://www.belfercenter.org/research-analysis/code-command-and-conflict-charting-future-military-ai
创新体系与产业政策,C-BEL-85FA86A1D8,2025-12-12,W3,研究报告与论文,"Code, Command, and Conflict: Charting the Future of Military AI",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85FA86A1D8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85FA86A1D8.txt,https://www.belfercenter.org/research-analysis/code-command-and-conflict-charting-future-military-ai
国防、航天与无人系统,C-BEL-85FA86A1D8,2025-12-12,W3,研究报告与论文,"Code, Command, and Conflict: Charting the Future of Military AI",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85FA86A1D8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85FA86A1D8.txt,https://www.belfercenter.org/research-analysis/code-command-and-conflict-charting-future-military-ai
生物、量子及其他前沿技术,C-BEL-85FA86A1D8,2025-12-12,W3,研究报告与论文,"Code, Command, and Conflict: Charting the Future of Military AI",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-85FA86A1D8.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-85FA86A1D8.txt,https://www.belfercenter.org/research-analysis/code-command-and-conflict-charting-future-military-ai
人工智能、芯片与算力,C-BEL-77F4F9A07F,2026-03-27,W3,政策简报,Risk of Influence Warfare in the Arctic: Lessons from Greenland,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-77F4F9A07F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-77F4F9A07F.txt,https://www.belfercenter.org/research-analysis/risk-influence-warfare-arctic-lessons-greenland
网络安全与数字治理,C-BEL-77F4F9A07F,2026-03-27,W3,政策简报,Risk of Influence Warfare in the Arctic: Lessons from Greenland,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-77F4F9A07F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-77F4F9A07F.txt,https://www.belfercenter.org/research-analysis/risk-influence-warfare-arctic-lessons-greenland
技术供应链与出口管制,C-BEL-77F4F9A07F,2026-03-27,W3,政策简报,Risk of Influence Warfare in the Arctic: Lessons from Greenland,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-77F4F9A07F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-77F4F9A07F.txt,https://www.belfercenter.org/research-analysis/risk-influence-warfare-arctic-lessons-greenland
国防、航天与无人系统,C-BEL-77F4F9A07F,2026-03-27,W3,政策简报,Risk of Influence Warfare in the Arctic: Lessons from Greenland,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-77F4F9A07F.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-77F4F9A07F.txt,https://www.belfercenter.org/research-analysis/risk-influence-warfare-arctic-lessons-greenland
人工智能、芯片与算力,C-BEL-CA0B5F9318,2026-06-01,W3,研究报告与论文,Move Fast and Scale: A Brief Insiders' History of the Replicator Initiative,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-CA0B5F9318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-CA0B5F9318.txt,https://www.belfercenter.org/research-analysis/move-fast-and-scale-brief-insiders-history-replicator-initiative
网络安全与数字治理,C-BEL-CA0B5F9318,2026-06-01,W3,研究报告与论文,Move Fast and Scale: A Brief Insiders' History of the Replicator Initiative,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-CA0B5F9318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-CA0B5F9318.txt,https://www.belfercenter.org/research-analysis/move-fast-and-scale-brief-insiders-history-replicator-initiative
技术供应链与出口管制,C-BEL-CA0B5F9318,2026-06-01,W3,研究报告与论文,Move Fast and Scale: A Brief Insiders' History of the Replicator Initiative,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-CA0B5F9318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-CA0B5F9318.txt,https://www.belfercenter.org/research-analysis/move-fast-and-scale-brief-insiders-history-replicator-initiative
创新体系与产业政策,C-BEL-CA0B5F9318,2026-06-01,W3,研究报告与论文,Move Fast and Scale: A Brief Insiders' History of the Replicator Initiative,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-CA0B5F9318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-CA0B5F9318.txt,https://www.belfercenter.org/research-analysis/move-fast-and-scale-brief-insiders-history-replicator-initiative
国防、航天与无人系统,C-BEL-CA0B5F9318,2026-06-01,W3,研究报告与论文,Move Fast and Scale: A Brief Insiders' History of the Replicator Initiative,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-CA0B5F9318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-CA0B5F9318.txt,https://www.belfercenter.org/research-analysis/move-fast-and-scale-brief-insiders-history-replicator-initiative
生物、量子及其他前沿技术,C-BEL-CA0B5F9318,2026-06-01,W3,研究报告与论文,Move Fast and Scale: A Brief Insiders' History of the Replicator Initiative,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-CA0B5F9318.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-CA0B5F9318.txt,https://www.belfercenter.org/research-analysis/move-fast-and-scale-brief-insiders-history-replicator-initiative
人工智能、芯片与算力,C-BEL-3173F56443,2026-06-05,W3,研究报告与论文,In the Eye of the Storm: Pakistan’s Balancing Act in the Evolving Geopolitical Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-3173F56443.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-3173F56443.txt,https://www.belfercenter.org/research-analysis/eye-storm-pakistans-balancing-act-evolving-geopolitical-order
网络安全与数字治理,C-BEL-3173F56443,2026-06-05,W3,研究报告与论文,In the Eye of the Storm: Pakistan’s Balancing Act in the Evolving Geopolitical Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-3173F56443.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-3173F56443.txt,https://www.belfercenter.org/research-analysis/eye-storm-pakistans-balancing-act-evolving-geopolitical-order
技术供应链与出口管制,C-BEL-3173F56443,2026-06-05,W3,研究报告与论文,In the Eye of the Storm: Pakistan’s Balancing Act in the Evolving Geopolitical Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-3173F56443.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-3173F56443.txt,https://www.belfercenter.org/research-analysis/eye-storm-pakistans-balancing-act-evolving-geopolitical-order
创新体系与产业政策,C-BEL-3173F56443,2026-06-05,W3,研究报告与论文,In the Eye of the Storm: Pakistan’s Balancing Act in the Evolving Geopolitical Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-3173F56443.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-3173F56443.txt,https://www.belfercenter.org/research-analysis/eye-storm-pakistans-balancing-act-evolving-geopolitical-order
国防、航天与无人系统,C-BEL-3173F56443,2026-06-05,W3,研究报告与论文,In the Eye of the Storm: Pakistan’s Balancing Act in the Evolving Geopolitical Order,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-3173F56443.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-3173F56443.txt,https://www.belfercenter.org/research-analysis/eye-storm-pakistans-balancing-act-evolving-geopolitical-order
人工智能、芯片与算力,C-BEL-0701AA8F07,2026-06-29,W3,研究报告与论文,Navigating Without GPS: A Cascading Alt-PNT Architecture for American Defense,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0701AA8F07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0701AA8F07.txt,https://www.belfercenter.org/research-analysis/navigating-without-gps-cascading-alt-pnt-architecture-american-defense
网络安全与数字治理,C-BEL-0701AA8F07,2026-06-29,W3,研究报告与论文,Navigating Without GPS: A Cascading Alt-PNT Architecture for American Defense,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0701AA8F07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0701AA8F07.txt,https://www.belfercenter.org/research-analysis/navigating-without-gps-cascading-alt-pnt-architecture-american-defense
创新体系与产业政策,C-BEL-0701AA8F07,2026-06-29,W3,研究报告与论文,Navigating Without GPS: A Cascading Alt-PNT Architecture for American Defense,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0701AA8F07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0701AA8F07.txt,https://www.belfercenter.org/research-analysis/navigating-without-gps-cascading-alt-pnt-architecture-american-defense
国防、航天与无人系统,C-BEL-0701AA8F07,2026-06-29,W3,研究报告与论文,Navigating Without GPS: A Cascading Alt-PNT Architecture for American Defense,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0701AA8F07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0701AA8F07.txt,https://www.belfercenter.org/research-analysis/navigating-without-gps-cascading-alt-pnt-architecture-american-defense
生物、量子及其他前沿技术,C-BEL-0701AA8F07,2026-06-29,W3,研究报告与论文,Navigating Without GPS: A Cascading Alt-PNT Architecture for American Defense,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-BEL-0701AA8F07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-BEL-0701AA8F07.txt,https://www.belfercenter.org/research-analysis/navigating-without-gps-cascading-alt-pnt-architecture-american-defense
人工智能、芯片与算力,C-BEL-AA7FE010FD,2026-07-28,W3,研究报告与论文,Europe’s Falcon Moment: Five Recommendations to Create the Conditions for Europe’s Own SpaceX,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,https://www.belfercenter.org/research-analysis/europes-falcon-moment-five-recommendations-create-conditions-europes-own-spacex
网络安全与数字治理,C-BEL-AA7FE010FD,2026-07-28,W3,研究报告与论文,Europe’s Falcon Moment: Five Recommendations to Create the Conditions for Europe’s Own SpaceX,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,https://www.belfercenter.org/research-analysis/europes-falcon-moment-five-recommendations-create-conditions-europes-own-spacex
技术供应链与出口管制,C-BEL-AA7FE010FD,2026-07-28,W3,研究报告与论文,Europe’s Falcon Moment: Five Recommendations to Create the Conditions for Europe’s Own SpaceX,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,https://www.belfercenter.org/research-analysis/europes-falcon-moment-five-recommendations-create-conditions-europes-own-spacex
创新体系与产业政策,C-BEL-AA7FE010FD,2026-07-28,W3,研究报告与论文,Europe’s Falcon Moment: Five Recommendations to Create the Conditions for Europe’s Own SpaceX,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,https://www.belfercenter.org/research-analysis/europes-falcon-moment-five-recommendations-create-conditions-europes-own-spacex
国防、航天与无人系统,C-BEL-AA7FE010FD,2026-07-28,W3,研究报告与论文,Europe’s Falcon Moment: Five Recommendations to Create the Conditions for Europe’s Own SpaceX,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,https://www.belfercenter.org/research-analysis/europes-falcon-moment-five-recommendations-create-conditions-europes-own-spacex
生物、量子及其他前沿技术,C-BEL-AA7FE010FD,2026-07-28,W3,研究报告与论文,Europe’s Falcon Moment: Five Recommendations to Create the Conditions for Europe’s Own SpaceX,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-BEL-AA7FE010FD.txt,https://www.belfercenter.org/research-analysis/europes-falcon-moment-five-recommendations-create-conditions-europes-own-spacex
