报告ID,统一目录报告ID,发布日期,报告名称,摘要,官方主题,科学技术创新主题,中国关联,官方落地页,官方PDF入口,资料层级,全文策略,页面SHA256,采集日期
C-NESTA-2019-TESTING-INNOVATION-REAL-WORLD,C-NESTA-2019-TESTING-INNOVATION-REAL-WORLD,2019-10-22,Testing Innovation in the Real World,This report looks at how innovation testbeds are being used to safely test out innovation and new technologies in the real world.,Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/testing-innovation-real-world/,https://www.nesta.org.uk/documents/1606/Testing_innovation_in_the_real_world.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2e1327421b68822606fe9a8dfb376c52e13b30dc1613448675532678a5aa5472,2026-08-23
C-NESTA-2019-SEMANTIC-ANALYSIS-RECENT-EVOLUTION-AI-RESEARCH,C-NESTA-2019-SEMANTIC-ANALYSIS-RECENT-EVOLUTION-AI-RESEARCH,2019-11-15,A Semantic Analysis of the Recent Evolution of AI Research,"If we want to steer AI in societally desirable directions, first we need to understand where it is heading. This requires smarter data about smarter machines.",Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/semantic-analysis-recent-evolution-ai-research/,https://www.nesta.org.uk/documents/1643/A_Semantic_Analysis_of_the_Recent_Evolution_of_AI_Research.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,cf0dec6f264db9a15bfb82bd49a060c39c9cf7992256320e13a0f844998032b3,2026-08-23
C-NESTA-2019-COUNTRY-SPOTLIGHTS-2019,C-NESTA-2019-COUNTRY-SPOTLIGHTS-2019,2019-12-17,Country Spotlights 2019,This spotlight series provides a snapshot of how the Digital Frontrunner countries are delivering a digital economy for all.,Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/country-spotlights-2019/,https://www.nesta.org.uk/documents/1699/Digital_Frontrunners_Country_Spotlights.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,b97980215b8cc8276576af79cf9f0ac0d2fd8e2a171731b2723ee960628ffb87,2026-08-23
C-NESTA-2020-INNOVATING-UK-INNOVATION-POLICY,C-NESTA-2020-INNOVATING-UK-INNOVATION-POLICY,2020-01-22,Innovating UK Innovation Policy,"An ARPA-inspired funding body could make a valuable contribution to UK innovation if it takes a mission-led approach, reaches a wide pool of innovators and helps rebalance innovation across the UK.",Innovation policy,科学体系与基础研究；创新政策与研发治理,否,https://www.nesta.org.uk/report/innovating-uk-innovation-policy/,https://www.nesta.org.uk/documents/1723/Innovating_UK_Innovation_Policy.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,52e86a47574a87b8ebf15c9e8eea66da3f1e33164e1e1b8df741f101c7b94f8a,2026-08-23
C-NESTA-2020-INNOVATION-BROKERAGE,C-NESTA-2020-INNOVATION-BROKERAGE,2020-02-03,Innovation Brokerage,"This report examines how ‘digital innovation brokerage’ aims to connect ideas, people, organisations, and communities through digital technologies.",Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/innovation-brokerage/,https://www.nesta.org.uk/documents/1732/Innovation_Brokerage_1.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,9a06addde54b7e33856ca7886074bd280e6aa943b57b62f6e6a224344c513fae,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019,C-NESTA-2020-DIGITAL-CULTURE-2019,2020-02-07,Digital Culture 2019,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019/,https://www.nesta.org.uk/documents/1737/Digital-Culture-2019.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,8f014750e542a6c75abb9fae7c5defe9b3ab934f4144b492e198557c61faae55,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-COMBINED-ARTS,C-NESTA-2020-DIGITAL-CULTURE-2019-COMBINED-ARTS,2020-02-07,Digital Culture 2019: Combined Arts,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-combined-arts/,https://www.nesta.org.uk/documents/1745/DC2019-Combined-Arts-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,a3d7017632f482745e725ce2acd24c7e3cc4d1017e941fb5684157ff27f6580f,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-DANCE,C-NESTA-2020-DIGITAL-CULTURE-2019-DANCE,2020-02-07,Digital Culture 2019: Dance,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-dance/,https://www.nesta.org.uk/documents/1744/DC2019-Dance-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,69605bcd291e5dbfbadb79235e956bd1b2a8ba817fc6d0aff1fd1a15daec8b8d,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-LITERATURE,C-NESTA-2020-DIGITAL-CULTURE-2019-LITERATURE,2020-02-07,Digital Culture 2019: Literature,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-literature/,https://www.nesta.org.uk/documents/1743/DC2019-Literature-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,7e13b790be45b69f3e019f5ec8a642d8785e8fcb6a0ce322dd256e34dd2997ce,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-MUSEUMS,C-NESTA-2020-DIGITAL-CULTURE-2019-MUSEUMS,2020-02-07,Digital Culture 2019: Museums,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-museums/,https://www.nesta.org.uk/documents/1742/DC2019-Museums-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,ad6d7c4962e1f4ad85d14930377653801c4c503398b90fdd6c3d0bee6a19c0b1,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-MUSIC,C-NESTA-2020-DIGITAL-CULTURE-2019-MUSIC,2020-02-07,Digital Culture 2019: Music,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-music/,https://www.nesta.org.uk/documents/1741/DC2019-Music-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,ac56935711079bed6a1c25a2cef9a10c883adc0db214519060898d5512c0cdfa,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-NATIONAL-PORTFOLIO-ORGANISATIONS,C-NESTA-2020-DIGITAL-CULTURE-2019-NATIONAL-PORTFOLIO-ORGANISATIONS,2020-02-07,Digital Culture 2019: National Portfolio Organisations,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-national-portfolio-organisations/,https://www.nesta.org.uk/documents/1740/DC2019-National-Portfolio-Organisations-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,0a48279000f01d670aa0327f81ede264b3598b928d3f13831e07af0cae95ee9e,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-THEATRE,C-NESTA-2020-DIGITAL-CULTURE-2019-THEATRE,2020-02-07,Digital Culture 2019: Theatre,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-theatre/,https://www.nesta.org.uk/documents/1739/DC2019-Theatre-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,145844def75a80dd1e5761c63f136bc031d004a7a0c6560604bf60b1147efdf3,2026-08-23
C-NESTA-2020-DIGITAL-CULTURE-2019-VISUAL-ARTS,C-NESTA-2020-DIGITAL-CULTURE-2019-VISUAL-ARTS,2020-02-07,Digital Culture 2019: Visual Arts,,Creative economy & culture,技术创新与关键技术,否,https://www.nesta.org.uk/report/digital-culture-2019-visual-arts/,https://www.nesta.org.uk/documents/1738/DC2019-Visual-arts-factsheet.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,383f6b125f5d9097105ea15ff07e193c83ea5d6a81cf02b2bccbe117e0a58081,2026-08-23
C-NESTA-2020-FUTURE-MINDS-AND-MACHINES,C-NESTA-2020-FUTURE-MINDS-AND-MACHINES,2020-02-10,The Future of Minds and Machines: How artificial intelligence can enhance collective intelligence,,Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/future-minds-and-machines/,https://www.nesta.org.uk/documents/1824/FINAL_The_future_of_minds_and_machines.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,1f06b9d01146f92936e848e8d4ebe2b760735f02b4885006573847a36fa53e64,2026-08-23
C-NESTA-2020-LOVES-LABOURS-FOUND,C-NESTA-2020-LOVES-LABOURS-FOUND,2020-02-14,Love’s Labours Found,"What would it mean to reorient industrial strategy away from the frontier, and towards the parts of the economy in which most people are employed – and which give our lives meaning?",Innovation policy,创新政策与研发治理,否,https://www.nesta.org.uk/report/loves-labours-found/,https://www.nesta.org.uk/documents/1789/Loves_Labours_Found.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,16ae3a75095ba5b941dd73d5db7439ef7a647f7f88bf2f9333a3108a1c81274b,2026-08-23
C-NESTA-2020-UK-GETTING-INNOVATION-RIGHT,C-NESTA-2020-UK-GETTING-INNOVATION-RIGHT,2020-02-17,Is the UK Getting Innovation Right?,This report sets out to better understand public attitudes to innovation at a time of great technological and social change.,Innovation policy；Futurescoping,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/uk-getting-innovation-right/,https://www.nesta.org.uk/documents/1790/Is_the_UK_Getting_Innovation_Right.pdf；https://www.nesta.org.uk/documents/1793/Is_the_UK_summary.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,e720d2ac222576f1e754928ffa8c6388bc8fac5fae20ac12814df92130c5e9dd,2026-08-23
C-NESTA-2020-BREAKING-THE-IRON-TRIANGLE,C-NESTA-2020-BREAKING-THE-IRON-TRIANGLE,2020-05-18,Breaking the Iron Triangle: AI in China’s healthcare system,,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,是,https://www.nesta.org.uk/report/breaking-the-iron-triangle/,https://www.nesta.org.uk/documents/1860/Nesta_TheAIPoweredState_2020.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,362e5459fd8e0bc1581f19b6b4bf5f7917f6ce6b7a6b6834a2fef5aeae906a73,2026-08-23
C-NESTA-2020-CHINAS-APPROACH-TO-AI-ETHICS,C-NESTA-2020-CHINAS-APPROACH-TO-AI-ETHICS,2020-05-18,China’s Approach to AI Ethics,,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,是,https://www.nesta.org.uk/report/chinas-approach-to-ai-ethics/,https://www.nesta.org.uk/documents/1860/Nesta_TheAIPoweredState_2020.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,684e5101650bf4c94efdb9d6ff3e8aa5d29c85e232b0880e3ca592c90cf1b636,2026-08-23
C-NESTA-2020-INTRODUCING-AI-POWERED-STATE,C-NESTA-2020-INTRODUCING-AI-POWERED-STATE,2020-05-18,Introducing the AI Powered State,,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/introducing-ai-powered-state/,https://www.nesta.org.uk/documents/1860/Nesta_TheAIPoweredState_2020.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,29f71325e9675fe82f4e945968a21ce8d123016d7f4b318f1457f79e4ad5daa3,2026-08-23
C-NESTA-2020-PROMOTING-NATIONALLY-ACTING-LOCALLY,C-NESTA-2020-PROMOTING-NATIONALLY-ACTING-LOCALLY,2020-05-18,"Promoting Nationally, Acting Locally: China’s Next Generation AI approach",,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,是,https://www.nesta.org.uk/report/promoting-nationally-acting-locally/,https://www.nesta.org.uk/documents/1860/Nesta_TheAIPoweredState_2020.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,c84167ed0e27cfbfb0da4a0c7651083e501973b8fb7170e7c041d250c9acd8f4,2026-08-23
C-NESTA-2020-THE-FUTURE-OF-THE-CLASSROOM,C-NESTA-2020-THE-FUTURE-OF-THE-CLASSROOM,2020-05-18,The Future of the Classroom? China’s experience of AI in education,,Education；Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,是,https://www.nesta.org.uk/report/the-future-of-the-classroom/,https://www.nesta.org.uk/documents/1860/Nesta_TheAIPoweredState_2020.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,3f13b39261e001e850bc919c465b021f62b15c83b4470e524e8e8d971eae890f,2026-08-23
C-NESTA-2020-THE-IDEOLOGY-BEHIND-CHINAS-AI-STRATEGY,C-NESTA-2020-THE-IDEOLOGY-BEHIND-CHINAS-AI-STRATEGY,2020-05-18,The Ideology Behind China’s AI Strategy,,Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理,是,https://www.nesta.org.uk/report/the-ideology-behind-chinas-ai-strategy/,https://www.nesta.org.uk/documents/1860/Nesta_TheAIPoweredState_2020.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,aa41a344dbf04ff23eb4411e6e973dd0dc0bdcb914db183d9f1c59f444f41ebc,2026-08-23
C-NESTA-2020-ARTIFICIAL-INTELLIGENCE-AND-FIGHT-AGAINST-COVID-19,C-NESTA-2020-ARTIFICIAL-INTELLIGENCE-AND-FIGHT-AGAINST-COVID-19,2020-06-15,Artificial Intelligence and the Fight Against COVID-19,"This report studies the levels, evolution, geography, knowledge base and quality of artificial intelligence (AI) research relating to COVID-19. It highlights the velocity with which research communities are mobilising, whilst also noting deep learning algorithms’ reliance on big data sets, difficulties interpreting their findings, and a disconnect between AI researchers and relevant bodies of knowledge in the medical and biological sciences, which may limit the AI's impact in the fight with the virus.",Innovation policy,科学体系与基础研究；技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/artificial-intelligence-and-fight-against-covid-19/,,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,032621d8fd83d443de70542f39e1df6aec4d906f8c789b4f1cd12bbbe88d5ec7,2026-08-23
C-NESTA-2020-COMBINING-CROWDS-AND-MACHINES,C-NESTA-2020-COMBINING-CROWDS-AND-MACHINES,2020-06-18,Combining Crowds and Machines,"New technologies, including artificial intelligence (AI), allow us to mobilise human intelligence in new ways and at greater scale. The coronavirus pandemic has demonstrated the many uses of collective intelligence: from symptom-tracking apps to open-source production of medical equipment. But despite its potential, collective intelligence is still a nascent area for research finding and is dwarfed by investments in AI.",Futurescoping,技术创新与关键技术,否,https://www.nesta.org.uk/report/combining-crowds-and-machines/,https://www.nesta.org.uk/documents/1877/Combining_Crowds_and_Machines_PeWIhhR.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6b661a12ce75b4b2e5ba97c4442acbbedc80270697099ae8c629407ae9fdc42c,2026-08-23
C-NESTA-2020-DAO-MISMATCH-TECHNOLOGY-AND-OBJECTIVES,C-NESTA-2020-DAO-MISMATCH-TECHNOLOGY-AND-OBJECTIVES,2020-09-14,DAO: Mismatch of Technology and Objectives,,Innovation policy；Futurescoping,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/dao-mismatch-technology-and-objectives/,https://www.nesta.org.uk/documents/2032/Decentralised_Futures_Essays_FA.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,995930f1bf27704021c6d8f4c1c04935c68b31c8c23c44ba86fc668eeaccf3a5,2026-08-23
C-NESTA-2020-DEVELOPING-SOCIAL-AND-EMOTIONAL-SKILLS-EDUCATION-POLICY-AND-PRACTICE-UK-,C-NESTA-2020-DEVELOPING-SOCIAL-AND-EMOTIONAL-SKILLS-EDUCATION-POLICY-AND-PRACTICE-UK-,2020-10-23,Developing Social and Emotional Skills: Education policy and practice in the UK home nations,"This report from the University of Bath examines education policy and provision for social and emotional skills across England, Northern Ireland, Scotland and Wales.",Education,人才大学与科研组织,否,https://www.nesta.org.uk/report/developing-social-and-emotional-skills-education-policy-and-practice-uk-home-nations/,https://www.nesta.org.uk/documents/2129/Developing_Social_and_Emotional_Skills.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,708824c3459dd4519b05b67eddfc88b6f88d2887ca18720784acbe666e1c439d,2026-08-23
C-NESTA-2020-LEARNING-PANDEMIC-CLOSING-DIGITAL-SKILLS-GAP-DURING-COVID-19,C-NESTA-2020-LEARNING-PANDEMIC-CLOSING-DIGITAL-SKILLS-GAP-DURING-COVID-19,2020-11-16,Learning in a Pandemic: Closing the digital skills gap during COVID-19,"Since the pandemic, the digital divide has become a new face of inequality. This is a crucial time to equip people with digital skills to prevent social exclusion.",Education；Government innovation；Innovation policy,技术创新与关键技术；创新政策与研发治理；人才大学与科研组织,否,https://www.nesta.org.uk/report/learning-pandemic-closing-digital-skills-gap-during-covid-19/,https://www.nesta.org.uk/documents/2434/Learning-in-a-Pandemic_161120.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,c3f35deaec00cd9f35d4aebbb3582104a26ffcb9ef6ff39583a8b4e13ac88800,2026-08-23
C-NESTA-2020-MAPPING-CAREER-CAUSEWAYS-SUPPORTING-WORKERS-RISK,C-NESTA-2020-MAPPING-CAREER-CAUSEWAYS-SUPPORTING-WORKERS-RISK,2020-11-26,Mapping Career Causeways: Supporting workers at risk,This report looks at how easily workers can move within the labour market and transition to occupations with a lower risk of automation. It provides practical recommendations to reduce this risk and presents a methodology for measuring workers’ resilience to economic shocks.,Education,技术创新与关键技术,否,https://www.nesta.org.uk/report/mapping-career-causeways-supporting-workers-risk/,https://www.nesta.org.uk/documents/2157/Mapping_Career_Causeways_01_G2XA7Sl.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,35ef0ae0692f1f152000dcc941190cbf165e163f2b300bc722db41e4d502cd3f,2026-08-23
C-NESTA-2020-POWERING-GOOD-INSIGHTS-FROM-NESTAS-AI-FOR-GOOD-PROGRAMME,C-NESTA-2020-POWERING-GOOD-INSIGHTS-FROM-NESTAS-AI-FOR-GOOD-PROGRAMME,2020-11-30,Powering Good: Insights from Nesta’s AI for Good programme,A report showcasing the grantees from Nesta in Scotland’s AI for Good programme and exploring the potential of AI for social good in Scotland.,Government innovation,技术创新与关键技术,否,https://www.nesta.org.uk/report/powering-good-insights-from-nestas-ai-for-good-programme/,https://www.nesta.org.uk/documents/2152/Powering_Good_h7LLOiP.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,12f5cb228f7236c1b3609a015a3734106ccf1cdfadede54d8fc159d23d6837a9,2026-08-23
C-NESTA-2021-PARTICIPATORY-AI-HUMANITARIAN-INNOVATION-BRIEFING-PAPER,C-NESTA-2021-PARTICIPATORY-AI-HUMANITARIAN-INNOVATION-BRIEFING-PAPER,2021-09-15,Participatory AI for humanitarian innovation: a briefing paper,,,技术创新与关键技术,否,https://www.nesta.org.uk/report/participatory-ai-humanitarian-innovation-briefing-paper/,https://www.nesta.org.uk/documents/2487/Nesta_Participatory_AI_for_humanitarian_innovation_Final.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,a65dbf71c13553f6f0eb4eb1b066469f204c1d0b6af30fbecf24a794a4775a40,2026-08-23
C-NESTA-2021-EVERYONE-MAKES-INNOVATION-POLICY,C-NESTA-2021-EVERYONE-MAKES-INNOVATION-POLICY,2021-12-23,Democratising Innovation Policy: How community organising can help build a more inclusive economy,,,创新政策与研发治理,否,https://www.nesta.org.uk/report/everyone-makes-innovation-policy/,https://www.nesta.org.uk/documents/2565/Birmingham_Evaluation_Report.pdf；https://www.nesta.org.uk/documents/2566/East_London_Evaluation_Report.pdf；https://www.nesta.org.uk/documents/2567/EMIP_Democratising_Innovation_Policy_v2.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,014b89a5863c2f30330ee98fdaf5aa67d2c709eec205374841567d2e67aff17a,2026-08-23
C-NESTA-2022-WHEN-BILLBOARDS-STARE-BACK-HOW-CITIES-CAN-RECLAIM-THE-DIGITAL-PUBLIC-SPA,C-NESTA-2022-WHEN-BILLBOARDS-STARE-BACK-HOW-CITIES-CAN-RECLAIM-THE-DIGITAL-PUBLIC-SPA,2022-05-17,When billboards stare back: how cities can reclaim the digital public space,,Government innovation,技术创新与关键技术,否,https://www.nesta.org.uk/report/when-billboards-stare-back-how-cities-can-reclaim-the-digital-public-space/,https://www.nesta.org.uk/documents/2624/When_Billboards_Stare_Back_FINAL.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,652a870c12a0a61045285b7172d8ff63d830abf7a1361a38dc10f856b83871d4,2026-08-23
C-NESTA-2022-LOCALISING-AI,C-NESTA-2022-LOCALISING-AI,2022-07-19,Localising AI for crisis response,,,技术创新与关键技术,否,https://www.nesta.org.uk/report/localising-ai/,https://www.nesta.org.uk/documents/2635/Localising_AI_for_crisis_response_FINAL.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,fbdf2c7cfdf7a6383f50b4b80763b4cb0e3a93d32e69e3f223b1315d14791ba9,2026-08-23
C-NESTA-2022-DEMOCRATIC-INNOVATION-AND-DIGITAL-PARTICIPATION-REPORT,C-NESTA-2022-DEMOCRATIC-INNOVATION-AND-DIGITAL-PARTICIPATION-REPORT,2022-09-13,Democratic innovation and digital participation,,,技术创新与关键技术,否,https://www.nesta.org.uk/report/democratic-innovation-and-digital-participation-report/,https://www.nesta.org.uk/documents/2648/Democratic_innovation_and_digital_participation.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,dcd0acc3ce3dbfaf06983224d9ea592481056c3dfd701ca64022acfd02b45fbc,2026-08-23
C-NESTA-2023-ADOPTING-INTELLIGENT-INFRARED-HEATING-TECHNOLOGIES-SOCIAL-HOUSING,C-NESTA-2023-ADOPTING-INTELLIGENT-INFRARED-HEATING-TECHNOLOGIES-SOCIAL-HOUSING,2023-08-30,Adopting intelligent infrared heating technologies in social housing,Findings and recommendations for social housing providers on adopting intelligent infrared heating technologies.,,技术创新与关键技术,否,https://www.nesta.org.uk/report/adopting-intelligent-infrared-heating-technologies-social-housing/,,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,d775a0429669c6fb2e7f52bfafe3401cd4997b105c55efbca474f2b278a6d0b6,2026-08-23
C-NESTA-2024-THE-RADICAL-HOW,C-NESTA-2024-THE-RADICAL-HOW,2024-02-21,The Radical How,"UK 2040 Options and Public Digital on how to build a mission-oriented government that delivers better outcomes, reduces risk, saves money, and rebuilds trust",,技术创新与关键技术；创新政策与研发治理,否,https://www.nesta.org.uk/report/the-radical-how/,https://www.nesta.org.uk/documents/3150/The-Radical-How.pdf；https://www.nesta.org.uk/documents/3331/The-Radical-How_RdihP1D.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2d3c961ec81ba3b52a2926d9c4b18a6d228b95970e6fc7ef564fa894e1970985,2026-08-23
C-NESTA-2024-UNLOCKING-AIS-POTENTIAL-IN-EARLY-YEARS-EDUCATION,C-NESTA-2024-UNLOCKING-AIS-POTENTIAL-IN-EARLY-YEARS-EDUCATION,2024-12-17,Unlocking AI’s potential in early years education,,,技术创新与关键技术,否,https://www.nesta.org.uk/report/unlocking-ais-potential-in-early-years-education/,,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2e74c8526b0ca15b984a087eba515c531d46aa11b80ceee0d75a51e68db17c0c,2026-08-23
C-NESTA-2025-DOMESTIC-HEATING-TECHNOLOGY-OPTIONS,C-NESTA-2025-DOMESTIC-HEATING-TECHNOLOGY-OPTIONS,2025-02-03,Domestic heating technology options,Options for heating homes with electricity - the route to decarbonisation,,技术创新与关键技术,否,https://www.nesta.org.uk/report/domestic-heating-technology-options/,,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,db4c2e813a8f2a8ce76efbc03c6c2f0c793fc82fa9519500e3c334b881ae4bf8,2026-08-23
C-NESTA-2025-AI-SRAL-CONSULT,C-NESTA-2025-AI-SRAL-CONSULT,2025-08-16,How does the public feel about AI analysing UK government consultation responses?,,,技术创新与关键技术,否,https://www.nesta.org.uk/report/ai-sral-consult/,https://www.nesta.org.uk/documents/3252/AI_Social_Readiness_Advisory_Label_Report.pdf；https://www.nesta.org.uk/documents/3253/Advisory_label.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6843797498fc75046d674e8186356abc858a1be5b7ed1d7f894a9733a5267a34,2026-08-23
C-NESTA-2025-AI-SRAL-MAGICNOTES,C-NESTA-2025-AI-SRAL-MAGICNOTES,2025-12-02,How does the public feel about social workers using AI?,,,技术创新与关键技术,否,https://www.nesta.org.uk/report/ai-sral-magicnotes/,https://media.nesta.org.uk/documents/AI_Social_Readiness_Advisory_Label_Report__For_the_AI_tool_Magic_Notes.pdf；https://media.nesta.org.uk/documents/MagicNotes_AISocialReadinessLabel.pdf；https://media.nesta.org.uk/documents/Magic_Notes_SocialCareServiceUsers.pdf；https://www.nesta.org.uk/documents/3380/AI_Social_Readiness_Advisory_Label_Report__For_the_AI_tool_Magic_Notes.pdf；https://www.nesta.org.uk/documents/3382/MagicNotes_AISocialReadinessLabel.pdf,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,2f99997fab4a698c44118c837ad7b511e9c7bbe16f97111d459da7409b80c5af,2026-08-23
C-NESTA-2026-AI-AND-HUMAN-BEHAVIOUR,C-NESTA-2026-AI-AND-HUMAN-BEHAVIOUR,2026-02-23,AI and human behaviour,"Augment, adopt, align, adapt – Why behavioural science matters in an AI world",,科学体系与基础研究；技术创新与关键技术,否,https://www.nesta.org.uk/report/ai-and-human-behaviour/,,Nesta官方报告页轻量元数据,不自动下载；仅跨期关键节点、中国科技专题或高复用方法报告进入全文复核,6553f88be9a94632e853625bd2a0dd775529dd44ccf56388704a222a31d9b46a,2026-08-23
