主题标签,中国关联层级,科技关联层级,报告ID,发布日期,观察窗,材料类型,报告名称,资料角色,本地原始资产,本地文本,官方落地页
生物、量子及其他前沿技术,直接涉华科技,核心科技直接材料,C-NBR-E1378BD35F,2024-06-27,W3,NBR背景材料,China’s Generative AI Ecosystem in 2024 Rising Investment and Expectations,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1378BD35F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-E1378BD35F.txt,https://www.nbr.org/publication/chinas-generative-ai-ecosystem-in-2024-rising-investment-and-expectations/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-3F5365B41F,2024-08-20,W3,NBR访谈,Assessing the Impact of AI on Indo-Pacific Elections,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,https://www.nbr.org/publication/assessing-the-impact-of-ai-on-indo-pacific-elections/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-3F5365B41F,2024-08-20,W3,NBR访谈,Assessing the Impact of AI on Indo-Pacific Elections,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,https://www.nbr.org/publication/assessing-the-impact-of-ai-on-indo-pacific-elections/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-3F5365B41F,2024-08-20,W3,NBR访谈,Assessing the Impact of AI on Indo-Pacific Elections,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-3F5365B41F.txt,https://www.nbr.org/publication/assessing-the-impact-of-ai-on-indo-pacific-elections/
人工智能、芯片与算力,直接涉华科技,核心科技直接材料,C-NBR-FCCA98C748,2024-08-29,W3,NBR访谈,China's AI Governance: Engaging the Global South,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,https://www.nbr.org/publication/chinas-ai-governance-engaging-the-global-south/
网络安全与数字治理,直接涉华科技,核心科技直接材料,C-NBR-FCCA98C748,2024-08-29,W3,NBR访谈,China's AI Governance: Engaging the Global South,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,https://www.nbr.org/publication/chinas-ai-governance-engaging-the-global-south/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-FCCA98C748,2024-08-29,W3,NBR访谈,China's AI Governance: Engaging the Global South,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-FCCA98C748.txt,https://www.nbr.org/publication/chinas-ai-governance-engaging-the-global-south/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B4974E5676,2024-10-23,W3,NBR访谈,The U.S. International Cyberspace and Digital Policy Strategy,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,https://www.nbr.org/publication/the-u-s-international-cyberspace-and-digital-policy-strategy/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B4974E5676,2024-10-23,W3,NBR访谈,The U.S. International Cyberspace and Digital Policy Strategy,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,https://www.nbr.org/publication/the-u-s-international-cyberspace-and-digital-policy-strategy/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B4974E5676,2024-10-23,W3,NBR访谈,The U.S. International Cyberspace and Digital Policy Strategy,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,https://www.nbr.org/publication/the-u-s-international-cyberspace-and-digital-policy-strategy/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-B4974E5676,2024-10-23,W3,NBR访谈,The U.S. International Cyberspace and Digital Policy Strategy,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B4974E5676.txt,https://www.nbr.org/publication/the-u-s-international-cyberspace-and-digital-policy-strategy/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-F427CAC147,2024-12-11,W3,NBR访谈,The Indian Model for Digitalization A Blueprint for the Global South?,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F427CAC147.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F427CAC147.txt,https://www.nbr.org/publication/the-indian-model-for-digitalization-a-blueprint-for-the-global-south/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-F427CAC147,2024-12-11,W3,NBR访谈,The Indian Model for Digitalization A Blueprint for the Global South?,作者访谈,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F427CAC147.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-F427CAC147.txt,https://www.nbr.org/publication/the-indian-model-for-digitalization-a-blueprint-for-the-global-south/
人工智能、芯片与算力,直接涉华科技,核心科技直接材料,C-NBR-956430F335,2025-01-09,W3,NBR研究报告,Charting China’s Export Controls Predicting Impacts on Critical U.S. Supply Chains,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-956430F335.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-956430F335.txt,https://www.nbr.org/publication/charting-chinas-export-controls-predicting-impacts-on-critical-u-s-supply-chains/
网络安全与数字治理,直接涉华科技,核心科技直接材料,C-NBR-956430F335,2025-01-09,W3,NBR研究报告,Charting China’s Export Controls Predicting Impacts on Critical U.S. Supply Chains,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-956430F335.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-956430F335.txt,https://www.nbr.org/publication/charting-chinas-export-controls-predicting-impacts-on-critical-u-s-supply-chains/
技术供应链与出口管制,直接涉华科技,核心科技直接材料,C-NBR-956430F335,2025-01-09,W3,NBR研究报告,Charting China’s Export Controls Predicting Impacts on Critical U.S. Supply Chains,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-956430F335.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-956430F335.txt,https://www.nbr.org/publication/charting-chinas-export-controls-predicting-impacts-on-critical-u-s-supply-chains/
创新体系、标准与知识产权,直接涉华科技,核心科技直接材料,C-NBR-956430F335,2025-01-09,W3,NBR研究报告,Charting China’s Export Controls Predicting Impacts on Critical U.S. Supply Chains,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-956430F335.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-956430F335.txt,https://www.nbr.org/publication/charting-chinas-export-controls-predicting-impacts-on-critical-u-s-supply-chains/
生物、量子及其他前沿技术,直接涉华科技,核心科技直接材料,C-NBR-956430F335,2025-01-09,W3,NBR研究报告,Charting China’s Export Controls Predicting Impacts on Critical U.S. Supply Chains,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-956430F335.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-956430F335.txt,https://www.nbr.org/publication/charting-chinas-export-controls-predicting-impacts-on-critical-u-s-supply-chains/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-BF9F0F4E75,2025-01-20,W3,NBR圆桌论文,U.S.-Japan Economic and Technology Security Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BF9F0F4E75.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BF9F0F4E75.txt,https://www.nbr.org/publication/u-s-japan-economic-and-technology-security-cooperation/
技术供应链与出口管制,区域技术基线,核心科技直接材料,C-NBR-BF9F0F4E75,2025-01-20,W3,NBR圆桌论文,U.S.-Japan Economic and Technology Security Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BF9F0F4E75.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BF9F0F4E75.txt,https://www.nbr.org/publication/u-s-japan-economic-and-technology-security-cooperation/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-BF9F0F4E75,2025-01-20,W3,NBR圆桌论文,U.S.-Japan Economic and Technology Security Cooperation,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BF9F0F4E75.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-BF9F0F4E75.txt,https://www.nbr.org/publication/u-s-japan-economic-and-technology-security-cooperation/
网络安全与数字治理,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-DACB5B6314,2025-01-23,W3,NBR圆桌论文,Pathways for U.S.-ROK-Japan Cooperation Strengthening Trilateral Ties amid Uncertainty,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DACB5B6314.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DACB5B6314.txt,https://www.nbr.org/publication/pathways-for-u-s-rok-japan-cooperation-strengthening-trilateral-ties-amid-uncertainty/
技术供应链与出口管制,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-DACB5B6314,2025-01-23,W3,NBR圆桌论文,Pathways for U.S.-ROK-Japan Cooperation Strengthening Trilateral Ties amid Uncertainty,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DACB5B6314.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DACB5B6314.txt,https://www.nbr.org/publication/pathways-for-u-s-rok-japan-cooperation-strengthening-trilateral-ties-amid-uncertainty/
创新体系、标准与知识产权,含中国比较的印太技术材料,科技地缘经济基线,C-NBR-DACB5B6314,2025-01-23,W3,NBR圆桌论文,Pathways for U.S.-ROK-Japan Cooperation Strengthening Trilateral Ties amid Uncertainty,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DACB5B6314.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-DACB5B6314.txt,https://www.nbr.org/publication/pathways-for-u-s-rok-japan-cooperation-strengthening-trilateral-ties-amid-uncertainty/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-2E0A7F36E0,2025-02-27,W3,NBR研究报告,U.S.-Japan Technology and Economic Security Achieving Resilience in an Era of Disruption,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2E0A7F36E0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2E0A7F36E0.txt,https://www.nbr.org/publication/us-japan-technology-and-economic-security-achieving-resilience-in-an-era-of-disruption/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-2E0A7F36E0,2025-02-27,W3,NBR研究报告,U.S.-Japan Technology and Economic Security Achieving Resilience in an Era of Disruption,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2E0A7F36E0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2E0A7F36E0.txt,https://www.nbr.org/publication/us-japan-technology-and-economic-security-achieving-resilience-in-an-era-of-disruption/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-2E0A7F36E0,2025-02-27,W3,NBR研究报告,U.S.-Japan Technology and Economic Security Achieving Resilience in an Era of Disruption,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2E0A7F36E0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2E0A7F36E0.txt,https://www.nbr.org/publication/us-japan-technology-and-economic-security-achieving-resilience-in-an-era-of-disruption/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-2E0A7F36E0,2025-02-27,W3,NBR研究报告,U.S.-Japan Technology and Economic Security Achieving Resilience in an Era of Disruption,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2E0A7F36E0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2E0A7F36E0.txt,https://www.nbr.org/publication/us-japan-technology-and-economic-security-achieving-resilience-in-an-era-of-disruption/
生物、量子及其他前沿技术,含中国比较的印太技术材料,核心科技直接材料,C-NBR-2E0A7F36E0,2025-02-27,W3,NBR研究报告,U.S.-Japan Technology and Economic Security Achieving Resilience in an Era of Disruption,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2E0A7F36E0.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2E0A7F36E0.txt,https://www.nbr.org/publication/us-japan-technology-and-economic-security-achieving-resilience-in-an-era-of-disruption/
人工智能、芯片与算力,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F419648171,2025-03-12,W3,NBR研究报告,"U.S.-ROK Tech Cooperation: Batteries, Biotech, and Quantum Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F419648171.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F419648171.txt,https://www.nbr.org/publication/u-s-rok-tech-cooperation-batteries-biotech-and-quantum-technologies/
网络安全与数字治理,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F419648171,2025-03-12,W3,NBR研究报告,"U.S.-ROK Tech Cooperation: Batteries, Biotech, and Quantum Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F419648171.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F419648171.txt,https://www.nbr.org/publication/u-s-rok-tech-cooperation-batteries-biotech-and-quantum-technologies/
技术供应链与出口管制,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F419648171,2025-03-12,W3,NBR研究报告,"U.S.-ROK Tech Cooperation: Batteries, Biotech, and Quantum Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F419648171.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F419648171.txt,https://www.nbr.org/publication/u-s-rok-tech-cooperation-batteries-biotech-and-quantum-technologies/
创新体系、标准与知识产权,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F419648171,2025-03-12,W3,NBR研究报告,"U.S.-ROK Tech Cooperation: Batteries, Biotech, and Quantum Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F419648171.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F419648171.txt,https://www.nbr.org/publication/u-s-rok-tech-cooperation-batteries-biotech-and-quantum-technologies/
生物、量子及其他前沿技术,含中国比较的印太技术材料,核心科技直接材料,C-NBR-F419648171,2025-03-12,W3,NBR研究报告,"U.S.-ROK Tech Cooperation: Batteries, Biotech, and Quantum Technologies",作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-F419648171.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-F419648171.txt,https://www.nbr.org/publication/u-s-rok-tech-cooperation-batteries-biotech-and-quantum-technologies/
人工智能、芯片与算力,区域技术基线,科技地缘经济基线,C-NBR-B7618400B3,2025-06-12,W3,NBR政策简报,Safeguarding U.S. Companies from Unfair South Korean Competition Policies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B7618400B3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B7618400B3.txt,https://www.nbr.org/publication/safeguarding-u-s-companies-from-unfair-south-korean-competition-policies/
网络安全与数字治理,区域技术基线,科技地缘经济基线,C-NBR-B7618400B3,2025-06-12,W3,NBR政策简报,Safeguarding U.S. Companies from Unfair South Korean Competition Policies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B7618400B3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B7618400B3.txt,https://www.nbr.org/publication/safeguarding-u-s-companies-from-unfair-south-korean-competition-policies/
创新体系、标准与知识产权,区域技术基线,科技地缘经济基线,C-NBR-B7618400B3,2025-06-12,W3,NBR政策简报,Safeguarding U.S. Companies from Unfair South Korean Competition Policies,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B7618400B3.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\网页文本\C-NBR-B7618400B3.txt,https://www.nbr.org/publication/safeguarding-u-s-companies-from-unfair-south-korean-competition-policies/
人工智能、芯片与算力,直接涉华科技,科技地缘经济基线,C-NBR-7B0A3CFD84,2025-06-27,W3,NBR研究报告,China’s Economic Slowdown and Its Impact on Trading Partners,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-7B0A3CFD84.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-7B0A3CFD84.txt,https://www.nbr.org/publication/chinas-economic-slowdown-and-its-impact-on-trading-partners/
网络安全与数字治理,直接涉华科技,科技地缘经济基线,C-NBR-7B0A3CFD84,2025-06-27,W3,NBR研究报告,China’s Economic Slowdown and Its Impact on Trading Partners,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-7B0A3CFD84.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-7B0A3CFD84.txt,https://www.nbr.org/publication/chinas-economic-slowdown-and-its-impact-on-trading-partners/
技术供应链与出口管制,直接涉华科技,科技地缘经济基线,C-NBR-7B0A3CFD84,2025-06-27,W3,NBR研究报告,China’s Economic Slowdown and Its Impact on Trading Partners,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-7B0A3CFD84.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-7B0A3CFD84.txt,https://www.nbr.org/publication/chinas-economic-slowdown-and-its-impact-on-trading-partners/
创新体系、标准与知识产权,直接涉华科技,科技地缘经济基线,C-NBR-7B0A3CFD84,2025-06-27,W3,NBR研究报告,China’s Economic Slowdown and Its Impact on Trading Partners,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-7B0A3CFD84.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-7B0A3CFD84.txt,https://www.nbr.org/publication/chinas-economic-slowdown-and-its-impact-on-trading-partners/
生物、量子及其他前沿技术,直接涉华科技,科技地缘经济基线,C-NBR-7B0A3CFD84,2025-06-27,W3,NBR研究报告,China’s Economic Slowdown and Its Impact on Trading Partners,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-7B0A3CFD84.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-7B0A3CFD84.txt,https://www.nbr.org/publication/chinas-economic-slowdown-and-its-impact-on-trading-partners/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-2A7A65AC02,2025-09-04,W3,NBR政策简报,Charting ASEAN’s Path to AI Governance Uneven Yet Gaining Ground,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2A7A65AC02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2A7A65AC02.txt,https://www.nbr.org/publication/charting-aseans-path-to-ai-governance-uneven-yet-gaining-ground/
网络安全与数字治理,区域技术基线,核心科技直接材料,C-NBR-2A7A65AC02,2025-09-04,W3,NBR政策简报,Charting ASEAN’s Path to AI Governance Uneven Yet Gaining Ground,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2A7A65AC02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2A7A65AC02.txt,https://www.nbr.org/publication/charting-aseans-path-to-ai-governance-uneven-yet-gaining-ground/
创新体系、标准与知识产权,区域技术基线,核心科技直接材料,C-NBR-2A7A65AC02,2025-09-04,W3,NBR政策简报,Charting ASEAN’s Path to AI Governance Uneven Yet Gaining Ground,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-2A7A65AC02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-2A7A65AC02.txt,https://www.nbr.org/publication/charting-aseans-path-to-ai-governance-uneven-yet-gaining-ground/
人工智能、芯片与算力,区域技术基线,核心科技直接材料,C-NBR-D96FAA005C,2025-09-04,W3,NBR政策简报,AI Governance in India,作者/项目正式研究,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NBR-D96FAA005C.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NBR-D96FAA005C.txt,https://www.nbr.org/publication/ai-governance-in-india/
