报告ID,统一目录报告ID,发布日期,报告名称,官方内容类型,官方子类型,作者,科技创新相关度,中国直接信号,官方落地页,页面摘要,资料层级,全文策略,采集日期
C-CSIS-RAI-2023-SAFEGUARDING-HUMAN-INVENTION-AGE-ARTIFICIAL-INTELLIGENCE,C-CSIS-RAI-2023-SAFEGUARDING-HUMAN-INVENTION-AGE-ARTIFICIAL-INTELLIGENCE,2023-11-09,Safeguarding Human Invention in the Age of Artificial Intelligence,Article,Commentary,Alexander Kersten,核心,否,https://www.csis.org/analysis/safeguarding-human-invention-age-artificial-intelligence,"As AI becomes more ubiquitous and makes greater contributions to the invention process, the role of protecting and promoting human inventorship becomes critical.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-INCENTIVIZING-INNOVATION-NATIONAL-SECURITY-CONVERSATION-REP-DEBORAH-ROSS-D-NC,C-CSIS-RAI-2023-INCENTIVIZING-INNOVATION-NATIONAL-SECURITY-CONVERSATION-REP-DEBORAH-ROSS-D-NC,2023-12-04,Incentivizing Innovation for National Security: A Conversation with Rep. Deborah Ross (D-NC),Article,Transcript,,核心,否,https://www.csis.org/analysis/incentivizing-innovation-national-security-conversation-rep-deborah-ross-d-nc,"CSIS hosted a conversation with Rep. Deborah Ross (D-NC) on the role of intellectual property (IP) in innovation and geopolitical competition and moderated by Andrei Iancu, CSIS Senior Adviser and former Director of the U.S. Patent and Trademark Office.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-INCENTIVIZING-INNOVATION-NATIONAL-SECURITY-PANEL-DISCUSSION,C-CSIS-RAI-2023-INCENTIVIZING-INNOVATION-NATIONAL-SECURITY-PANEL-DISCUSSION,2023-12-04,Incentivizing Innovation for National Security: Panel Discussion,Article,Transcript,,核心,否,https://www.csis.org/analysis/incentivizing-innovation-national-security-panel-discussion,CSIS hosted a panel discussion on the policy landscape around protecting U.S. intellectual property against a backdrop of U.S. national security.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-NEW-EFFORTS-PROMOTE-US-INNOVATION-PERA-AND-PREVAIL-ACT-CONTEXT,C-CSIS-RAI-2023-NEW-EFFORTS-PROMOTE-US-INNOVATION-PERA-AND-PREVAIL-ACT-CONTEXT,2023-12-11,New Efforts to Promote U.S. Innovation: The PERA and PREVAIL Act in Context,Article,Commentary,Chris Borges and Alexander Kersten,核心,否,https://www.csis.org/analysis/new-efforts-promote-us-innovation-pera-and-prevail-act-context,"The PERA and PREVAIL Act aim to protect start-ups and boost U.S. innovation by strengthening intellectual property rights, though some argue they could hurt the very actors they aim to protect.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2023-CONVERSATION-REP-KEVIN-KILEY-US-INTELLECTUAL-PROPERTY-LEADERSHIP,C-CSIS-RAI-2023-CONVERSATION-REP-KEVIN-KILEY-US-INTELLECTUAL-PROPERTY-LEADERSHIP,2023-12-12,A Conversation with Rep. Kevin Kiley on U.S. Intellectual Property Leadership,Article,Transcript,,核心,否,https://www.csis.org/analysis/conversation-rep-kevin-kiley-us-intellectual-property-leadership,CSIS hosted Rep. Kevin Kiley (R-CA) to examine the role of intellectual property in technological innovation and geopolitical competition today.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-STANDARD-ESSENTIAL-PATENTS-AND-EUROPEAN-ECONOMIC-SECURITY,C-CSIS-RAI-2024-STANDARD-ESSENTIAL-PATENTS-AND-EUROPEAN-ECONOMIC-SECURITY,2024-01-26,Standard Essential Patents and European Economic Security,Article,Commentary,Kirti Gupta and Chris Borges,核心,否,https://www.csis.org/analysis/standard-essential-patents-and-european-economic-security,"By devaluing European intellectual property rights, the European Commission's proposal on standard essential patents may ultimately undermine European innovation and influence over critical global technology standards.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-STRATEGY-UNITED-STATES-REGAIN-ITS-POSITION-SEMICONDUCTOR-MANUFACTURING,C-CSIS-RAI-2024-STRATEGY-UNITED-STATES-REGAIN-ITS-POSITION-SEMICONDUCTOR-MANUFACTURING,2024-02-13,A Strategy for The United States to Regain its Position in Semiconductor Manufacturing,Article,Commentary,Richard Elkus Jr.,核心,否,https://www.csis.org/analysis/strategy-united-states-regain-its-position-semiconductor-manufacturing,"If the United States loses its competitive edge in the semiconductor industry relative to its competition it will become subservient to that competitor economically, politically, and militarily. So what does it take to rebuild its position?",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-FRENCH-MODEL-COOPERATIVE-SEMICONDUCTOR-RESEARCH-LESSONS-CEA-LETI,C-CSIS-RAI-2024-FRENCH-MODEL-COOPERATIVE-SEMICONDUCTOR-RESEARCH-LESSONS-CEA-LETI,2024-02-16,The French Model for Cooperative Semiconductor Research: Lessons from CEA-Leti,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/french-model-cooperative-semiconductor-research-lessons-cea-leti,The role of cooperative research centers in the global semiconductor network offers important lessons for the establishment of the NSTC called for in the CHIPS and Science Act. This article reviews the Grenoble-based microelectronics research center known as CEA-Leti.,CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2024-BALANCING-LEDGER-EXPORT-CONTROLS-US-CHIP-TECHNOLOGY-CHINA,C-CSIS-RAI-2024-BALANCING-LEDGER-EXPORT-CONTROLS-US-CHIP-TECHNOLOGY-CHINA,2024-02-21,Balancing the Ledger: Export Controls on U.S. Chip Technology to China,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,是,https://www.csis.org/analysis/balancing-ledger-export-controls-us-chip-technology-china,An initial assessment of recent attempts by the United States to limit or delay China’s ability to acquire and produce advanced semiconductor technologies reveals a mixed picture in a complex and rapidly evolving industry.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-WHEN-AI-HELPS-GENERATE-INVENTIONS-WHO-INVENTOR,C-CSIS-RAI-2024-WHEN-AI-HELPS-GENERATE-INVENTIONS-WHO-INVENTOR,2024-02-22,"When AI Helps Generate Inventions, Who Is the Inventor?",Article,Commentary,Andrei Iancu and Rama Elluru,核心,否,https://www.csis.org/analysis/when-ai-helps-generate-inventions-who-inventor,"AI advancements will contribute more and more significantly to the invention processes, blurring the lines of inventive contribution and raising the question of whether AI should be considered a joint or perhaps even sole inventor.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-SECRETARY-RAIMONDO-UPDATE-CHIPS-ACT-IMPLEMENTATION,C-CSIS-RAI-2024-SECRETARY-RAIMONDO-UPDATE-CHIPS-ACT-IMPLEMENTATION,2024-02-26,Secretary Raimondo: An Update on CHIPS Act Implementation,Article,Transcript,,核心,否,https://www.csis.org/analysis/secretary-raimondo-update-chips-act-implementation,"CSIS Renewing American Innovation hosted U.S. Secretary of Commerce Gina Raimondo for a major policy address on ""Investing in Leading-Edge Technology: An Update on CHIPS Act Implementation"".",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-UNDERSTANDING-IMEC-GLOBAL-CENTER-COOPERATIVE-RESEARCH-SEMICONDUCTORS,C-CSIS-RAI-2024-UNDERSTANDING-IMEC-GLOBAL-CENTER-COOPERATIVE-RESEARCH-SEMICONDUCTORS,2024-03-19,Understanding imec: The Global Center for Cooperative Research in Semiconductors,Article,Transcript,,核心,否,https://www.csis.org/analysis/understanding-imec-global-center-cooperative-research-semiconductors,"The CSIS Renewing American Innovation hosted a discussion with Luc Van den hove, President and CEO of imec, the global center for cooperative R&D in the semiconductor industry.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-FOREIGN-BORN-SHARE-US-STEM-WORKFORCE,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-FOREIGN-BORN-SHARE-US-STEM-WORKFORCE,2024-04-05,Innovation Lightbulb: Foreign-born Share of the U.S. STEM Workforce,Article,Newsletter,Julia Yoon,核心,否,https://www.csis.org/analysis/innovation-lightbulb-foreign-born-share-us-stem-workforce,"Among the U.S.’s most educated STEM workforce cohort, foreign-born representation is significant. Nearly 60 percent of doctorate-level computer and mathematical scientists and doctorate-level engineers employed across all S&E fields in the U.S. are foreign-born.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-LOOK-DODS-TRUSTED-ASSURED-MICROELECTRONICS-PROGRAM,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-LOOK-DODS-TRUSTED-ASSURED-MICROELECTRONICS-PROGRAM,2024-04-19,Innovation Lightbulb: A Look at DoD's Trusted & Assured Microelectronics Program,Article,Newsletter,Tisyaketu Sirkar,核心,否,https://www.csis.org/analysis/innovation-lightbulb-look-dods-trusted-assured-microelectronics-program,"What measures is the U.S. Department of Defense (DoD) taking to ensure a secure and stable semiconductor supply chain for defense applications? This week, we look at the Trusted and Assured Microelectronics program (TAM)—the DoD's largest semiconductor initiative by funding.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-WHATS-LEFT-CHIPS-ACT-FUNDS,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-WHATS-LEFT-CHIPS-ACT-FUNDS,2024-05-08,Innovation Lightbulb: What's Left of the CHIPS Act Funds?,Article,Newsletter,Gregory Arcuri,核心,否,https://www.csis.org/analysis/innovation-lightbulb-whats-left-chips-act-funds,"The U.S. Department of Commerce has announced preliminary terms for major semiconductor manufacturing projects across the country at a steady pace. This week, we look at how much of the CHIPS Semiconductor Financial Assistance Program funds have been committed so far and how much remains unallocated.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-US-CHINA-INNOVATION-COMPETITION,C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-US-CHINA-INNOVATION-COMPETITION,2024-05-16,Intellectual Property Rights in the U.S.-China Innovation Competition,Article,Commentary,Chris Borges,核心,是,https://www.csis.org/analysis/intellectual-property-rights-us-china-innovation-competition,"While the United States remains the gold standard for IP protections, this standing must not be taken for granted.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2024-GALLIUM-NITRIDE-STRATEGIC-OPPORTUNITY-SEMICONDUCTOR-INDUSTRY,C-CSIS-RAI-2024-GALLIUM-NITRIDE-STRATEGIC-OPPORTUNITY-SEMICONDUCTOR-INDUSTRY,2024-05-20,Gallium Nitride: A Strategic Opportunity for the Semiconductor Industry,Article,Commentary,"Sujai Shivakumar, Julia Yoon, and Tisyaketu Sirkar",核心,否,https://www.csis.org/analysis/gallium-nitride-strategic-opportunity-semiconductor-industry,"The growing adoption of gallium nitride (GaN) semiconductors is a major opportunity for the United States. GaN is a compound semiconductor that contains several properties ideally suited for the next generation of high-power, high-frequency electronic systems.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-BREAKING-DOWN-PRIVATE-SECTOR-RESEARCH-AND-DEVELOPMENT,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-BREAKING-DOWN-PRIVATE-SECTOR-RESEARCH-AND-DEVELOPMENT,2024-05-22,Innovation Lightbulb: Breaking Down Private Sector Research and Development,Article,Newsletter,Gregory Arcuri and Julia Yoon,核心,否,https://www.csis.org/analysis/innovation-lightbulb-breaking-down-private-sector-research-and-development,"Across three key metrics of innovative activity—total R&D expenditure, domestic R&D employment, and R&D intensity—four industrial subsectors stand out. This week, we dive into private-sector R&D activity and look at which industries are driving a surge in U.S. R&D activity.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-USE-MARCH-RIGHTS-COULD-UNDERMINE-INNOVATION-AND-NATIONAL-SECURITY,C-CSIS-RAI-2024-USE-MARCH-RIGHTS-COULD-UNDERMINE-INNOVATION-AND-NATIONAL-SECURITY,2024-05-23,The Use of March-In Rights Could Undermine Innovation and National Security,Article,Commentary,Hideki Tomoshige and Sujai Shivakumar,核心,否,https://www.csis.org/analysis/use-march-rights-could-undermine-innovation-and-national-security,"The Bayh-Dole Act has been pivotal in driving U.S. innovation and economic growth. However, possible changes to march-in rights aimed at controlling drug prices could disrupt this success, posing risks to the innovation ecosystem and national competitiveness.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-FEDERAL-STEM-FUNDING-MINORITY-SERVING-INSTITUTIONS,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-FEDERAL-STEM-FUNDING-MINORITY-SERVING-INSTITUTIONS,2024-05-31,Innovation Lightbulb: Federal STEM Funding for Minority Serving Institutions,Article,Newsletter,Tisyaketu Sirkar,核心,否,https://www.csis.org/analysis/innovation-lightbulb-federal-stem-funding-minority-serving-institutions,"Broadening the STEM workforce pipeline to include underrepresented communities is a key national priority. This week, we explore federal STEM funding patterns for Minority Serving Institutions (MSIs) from 2021 to 2024.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-ASSESSING-PATENT-AND-TRADEMARK-OFFICES-INVENTORSHIP-GUIDANCE-AI-ASSISTED-INVENTIONS,C-CSIS-RAI-2024-ASSESSING-PATENT-AND-TRADEMARK-OFFICES-INVENTORSHIP-GUIDANCE-AI-ASSISTED-INVENTIONS,2024-06-03,Assessing the Patent and Trademark Office’s Inventorship Guidance for AI-Assisted Inventions,Article,Commentary,Alexander Kersten,核心,否,https://www.csis.org/analysis/assessing-patent-and-trademark-offices-inventorship-guidance-ai-assisted-inventions,"Accelerating innovation is critical to growing technological competition, and rapid advances in this new technological domain require a clear legal framework and robust patent protection to incentivize and foster innovation.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-PRIVATE-INVESTMENT-QUANTUM-TECHNOLOGY,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-PRIVATE-INVESTMENT-QUANTUM-TECHNOLOGY,2024-06-14,Innovation Lightbulb: Private Investment in Quantum Technology,Article,Newsletter,Hideki Tomoshige,核心,否,https://www.csis.org/analysis/innovation-lightbulb-private-investment-quantum-technology,"QIST is moving from theory to practical applications with potential across sectors, yet industry growth remains limited. Sustained funding, including through reauthorizing the National Quantum Initiative Act and fully funding the CHIPS Act, is crucial for U.S. leadership in this field.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INVESTING-SCIENCE-AND-TECHNOLOGY,C-CSIS-RAI-2024-INVESTING-SCIENCE-AND-TECHNOLOGY,2024-06-18,Investing in Science and Technology,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,是,https://www.csis.org/analysis/investing-science-and-technology,"This report highlights the serious challenge posed by China’s rapid advancements in AI, QIS, and semiconductors, emphasizing the need for policymakers to act decisively to secure the United States’ future in the global technology race.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2024-REPORT-LAUNCH-ROLE-TRUST-ADVANCING-EQUITY-INNOVATION,C-CSIS-RAI-2024-REPORT-LAUNCH-ROLE-TRUST-ADVANCING-EQUITY-INNOVATION,2024-06-24,Report Launch: The Role of Trust in Advancing Equity in Innovation,Article,Transcript,,核心,否,https://www.csis.org/analysis/report-launch-role-trust-advancing-equity-innovation,The CSIS Renewing American Innovation Project and Invent Together hosted a report launch that breaks down the role of trust in building a more diverse innovator base in the U.S.,CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-STRENGTHENING-K-12-STEM-EDUCATION-ROBUST-US-TECHNOLOGY-WORKFORCE,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-STRENGTHENING-K-12-STEM-EDUCATION-ROBUST-US-TECHNOLOGY-WORKFORCE,2024-06-28,Innovation Lightbulb: Strengthening K-12 STEM Education for a Robust U.S. Technology Workforce,Article,Newsletter,Julia Yoon,核心,否,https://www.csis.org/analysis/innovation-lightbulb-strengthening-k-12-stem-education-robust-us-technology-workforce,"According to the National Science Foundation, the average mathematics test scores on the National Assessment of Educational Progress declined in 2022 compared to previous years. Improving math competency and fostering interest in STEM must start early in a child’s education and must reach across all communities. Doing so will help broaden and diversify the talent pipeline into industries of strategic and economic importance, ensuring U.S. competitiveness for years to come.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-COLLATERAL-DAMAGE-DOMESTIC-IMPACT-US-SEMICONDUCTOR-EXPORT-CONTROLS,C-CSIS-RAI-2024-COLLATERAL-DAMAGE-DOMESTIC-IMPACT-US-SEMICONDUCTOR-EXPORT-CONTROLS,2024-07-09,Collateral Damage: The Domestic Impact of U.S. Semiconductor Export Controls,Article,Commentary,"Kirti Gupta, Chris Borges, and Andrea Leonard Palazzi",核心,是,https://www.csis.org/analysis/collateral-damage-domestic-impact-us-semiconductor-export-controls,"Just as the United States is prioritizing the development of its semiconductor industry, its export controls on China may undercut its innovation agenda.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-WILL-STRENGTHENING-QUAD-ACT-WORK,C-CSIS-RAI-2024-WILL-STRENGTHENING-QUAD-ACT-WORK,2024-07-22,"Will the ""Strengthening the Quad Act"" Work?",Article,Commentary,Alexander Kersten and Julia Yoon,语境,否,https://www.csis.org/analysis/will-strengthening-quad-act-work,"There are calls to formalize the Quad alliance with an inter-parliamentary working group. While its impact on military cooperation remains uncertain, this reflects a desire to deepen cooperation for a free, open, and inclusive Indo-Pacific region based on shared values.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-HOW-GREATER-PATENT-EQUITY-SPUR-US-INNOVATION,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-HOW-GREATER-PATENT-EQUITY-SPUR-US-INNOVATION,2024-07-26,Innovation Lightbulb: How Greater Patent Equity Spur U.S. Innovation,Article,Newsletter,Julia Yoon,核心,否,https://www.csis.org/analysis/innovation-lightbulb-how-greater-patent-equity-spur-us-innovation,"Patents are the engine of innovation, but structural rigidities prevent some Americans from considering themselves ""inventors."" A multifaceted approach is needed to improve patent awareness and confidence, diversify the pool of inventors, and boost U.S. competitiveness.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-UNDERSTANDING-US-BIOPHARMACEUTICAL-INNOVATION-ECOSYSTEM,C-CSIS-RAI-2024-UNDERSTANDING-US-BIOPHARMACEUTICAL-INNOVATION-ECOSYSTEM,2024-08-15,Understanding the U.S. Biopharmaceutical Innovation Ecosystem,Report,Report,"Sujai Shivakumar, Tisyaketu Sirkar, and Jeffrey Depp",核心,是,https://www.csis.org/analysis/understanding-us-biopharmaceutical-innovation-ecosystem,"While the commercial and national security competition with China has brought policy attention to securing the semiconductor industry, the importance of sustaining a world-leading U.S. biopharmaceutical industry remains underappreciated.",CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2024-WORLD-CHIPS-ACTS-FUTURE-US-EU-SEMICONDUCTOR-COLLABORATION,C-CSIS-RAI-2024-WORLD-CHIPS-ACTS-FUTURE-US-EU-SEMICONDUCTOR-COLLABORATION,2024-08-20,A World of Chips Acts: The Future of U.S.-EU Semiconductor Collaboration,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/world-chips-acts-future-us-eu-semiconductor-collaboration,"With the enactment of the U.S. and EU Chips Acts, the question is how collaborative activities can be deepened, broadened, and leveraged by direct engagement to address the vulnerabilities faced by both ecosystems.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-SEIZING-QUANTUM-OPPORTUNITY-DEPUTY-SECRETARY-DON-GRAVES-COMMERCES-QUANTUM-INITIATIVES,C-CSIS-RAI-2024-SEIZING-QUANTUM-OPPORTUNITY-DEPUTY-SECRETARY-DON-GRAVES-COMMERCES-QUANTUM-INITIATIVES,2024-09-23,Seizing the Quantum Opportunity: Deputy Secretary Don Graves on Commerce's Quantum Initiatives,Article,Transcript,,核心,否,https://www.csis.org/analysis/seizing-quantum-opportunity-deputy-secretary-don-graves-commerces-quantum-initiatives,"CSIS Renewing American Innovation hosted a special fireside chat with Don Graves, U.S. Deputy Secretary of Commerce.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-FEDERAL-INVESTMENTS-REGIONAL-EMERGING-TECH-HUBS-SECURE-AMERICAS,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-FEDERAL-INVESTMENTS-REGIONAL-EMERGING-TECH-HUBS-SECURE-AMERICAS,2024-10-04,Innovation Lightbulb: Federal Investments in Regional Emerging Tech Hubs to Secure America's Future,Article,Newsletter,Julie Heng,核心,否,https://www.csis.org/analysis/innovation-lightbulb-federal-investments-regional-emerging-tech-hubs-secure-americas,"With awards now being distributed via three major CHIPS Act programs, this week’s newsletter examines their potential impact on American innovation.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-IMEC-WORLD-LEADING-COOPERATIVE-RESEARCH-CENTER-MICROELECTRONICS,C-CSIS-RAI-2024-IMEC-WORLD-LEADING-COOPERATIVE-RESEARCH-CENTER-MICROELECTRONICS,2024-10-08,Imec: A World-Leading Cooperative Research Center for Microelectronics,Report,Report,"Sujai Shivakumar, Charles Wessner, and Thomas Howell",核心,否,https://www.csis.org/analysis/imec-world-leading-cooperative-research-center-microelectronics,Imec holds major lessons for the United States. Its ability to attract and retain leading companies to cooperatively develop cutting-edge semiconductor technologies in a fiercely competitive industry represents an outstanding model for international cooperative research.,CSIS RAI官方项目归档Report/Article元数据,已进入精选全文；按本地官方PDF或网页正文、清洗文本和科技创新切片调用,2026-08-23
C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-PREPARING-NEXT-GENERATION-CAREERS-QUANTUM-TECHNOLOGY,C-CSIS-RAI-2024-INNOVATION-LIGHTBULB-PREPARING-NEXT-GENERATION-CAREERS-QUANTUM-TECHNOLOGY,2024-10-18,Innovation Lightbulb: Preparing the Next Generation for Careers in Quantum Technology,Article,Newsletter,Arrizka Faida,核心,否,https://www.csis.org/analysis/innovation-lightbulb-preparing-next-generation-careers-quantum-technology,"QIST has advanced considerably in the past decade, moving beyond research labs into real-world industrial applications and products. As the industry grows, there is a pressing need to equip students with quantum-specific skills, quantum awareness, and broader STEM knowledge.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-CLUSTERING-INNOVATION,C-CSIS-RAI-2024-CLUSTERING-INNOVATION,2024-10-29,Clustering for Innovation,Article,Commentary,Sujai Shivakumar,核心,否,https://www.csis.org/analysis/clustering-innovation,"By fostering the growth of regional ecosystems, partnerships encourage more Americans to connect to the nation’s economic future and drive U.S. technological competitiveness in global markets—securing the nation both from within and from external threats.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-AND-FUTURE-US-TECHNOLOGICAL-LEADERSHIP,C-CSIS-RAI-2024-INTELLECTUAL-PROPERTY-RIGHTS-AND-FUTURE-US-TECHNOLOGICAL-LEADERSHIP,2024-10-29,Intellectual Property Rights and the Future of U.S. Technological Leadership,Article,Commentary,Kirti Gupta,核心,否,https://www.csis.org/analysis/intellectual-property-rights-and-future-us-technological-leadership,"The next administration should consider IP as part of its broader innovation agenda, not as an issue of technical obscurity to be treated in isolation. A strong IP system works for everyone.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
C-CSIS-RAI-2024-GLOBAL-TECH-RACE,C-CSIS-RAI-2024-GLOBAL-TECH-RACE,2024-10-29,Staying Ahead in the Global Technology Race: A Roadmap for Economic Security,Report,Digital Feature,The CSIS Economic Security and Technology Department,语境,否,https://features.csis.org/global-tech-race/,"CSIS Economic Security and Technology Department experts give recommendations on export controls, global tech governance, domestic incentives for building tech capabilities in chips and clean technologies, and the future of international tech cooperation and competition.",CSIS RAI官方项目归档Report/Article元数据,总目录保留；科学、R&D、创新生态、成果转化、关键技术及中国科技比较节点进入全文层,2026-08-23
