报告ID,统一目录报告ID,DOI,ISSN,系列,发布日期,报告名称,作者,科学技术创新主题,中国关联,DOI入口,OECD落地页,登记机构,资料层级,全文策略,源文件SHA256,采集日期
C-OECD-DOI-51C767C9-EN,C-OECD-DOI-51C767C9-EN,10.1787/51c767c9-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2021-06-28,Targeting R&D intensity in Finnish innovation policy,,科学体系与基础研究；创新政策与研发治理,否,https://doi.org/10.1787/51c767c9-en,https://www.oecd.org/en/publications/targeting-r-d-intensity-in-finnish-innovation-policy_51c767c9-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-7B43B038-EN,C-OECD-DOI-7B43B038-EN,10.1787/7b43b038-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2021-06-28,Measuring the AI content of government-funded R&D projects,,科学体系与基础研究；技术创新与关键技术,否,https://doi.org/10.1787/7b43b038-en,https://www.oecd.org/en/publications/measuring-the-ai-content-of-government-funded-r-d-projects_7b43b038-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-DE0378F3-EN,C-OECD-DOI-DE0378F3-EN,10.1787/de0378f3-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2021-07-08,"New evidence on intangibles, diffusion and productivity",,产业创新转化与区域生态,否,https://doi.org/10.1787/de0378f3-en,https://www.oecd.org/en/publications/new-evidence-on-intangibles-diffusion-and-productivity_de0378f3-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-8AF4AB29-EN,C-OECD-DOI-8AF4AB29-EN,10.1787/8af4ab29-en,2071-6826,OECD Digital Economy Papers,2021-07-15,Transparency reporting on terrorist and violent extremist content online,,科学技术创新综合目录,否,https://doi.org/10.1787/8af4ab29-en,https://www.oecd.org/en/publications/transparency-reporting-on-terrorist-and-violent-extremist-content-online_8af4ab29-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-0E78FF9F-EN,C-OECD-DOI-0E78FF9F-EN,10.1787/0e78ff9f-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-07-20,Space technology transfers and their commercialisation,,技术创新与关键技术；产业创新转化与区域生态,否,https://doi.org/10.1787/0e78ff9f-en,https://www.oecd-ilibrary.org/science-and-technology/space-technology-transfers-and-their-commercialisation_0e78ff9f-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-E38F5DB7-EN,C-OECD-DOI-E38F5DB7-EN,10.1787/e38f5db7-en,2071-6826,OECD Digital Economy Papers,2021-07-20,Bridging connectivity divides,,科学技术创新综合目录,否,https://doi.org/10.1787/e38f5db7-en,https://www.oecd-ilibrary.org/science-and-technology/bridging-connectivity-divides_e38f5db7-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-0A76109F-EN,C-OECD-DOI-0A76109F-EN,10.1787/0a76109f-en,2071-6826,OECD Digital Economy Papers,2021-07-21,Measuring telework in the COVID-19 pandemic,,科学技术创新综合目录,否,https://doi.org/10.1787/0a76109f-en,https://www.oecd.org/en/publications/measuring-telework-in-the-covid-19-pandemic_0a76109f-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-5EA15D01-EN,C-OECD-DOI-5EA15D01-EN,10.1787/5ea15d01-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-07-29,"Making life richer, easier and healthier",,科学技术创新综合目录,否,https://doi.org/10.1787/5ea15d01-en,https://www.oecd.org/en/publications/making-life-richer-easier-and-healthier_5ea15d01-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-D8BBDCFA-EN,C-OECD-DOI-D8BBDCFA-EN,10.1787/d8bbdcfa-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2021-07-30,Value chains in public marine data,,技术创新与关键技术,否,https://doi.org/10.1787/d8bbdcfa-en,https://www.oecd.org/en/publications/value-chains-in-public-marine-data_d8bbdcfa-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-6827B3C9-EN,C-OECD-DOI-6827B3C9-EN,10.1787/6827b3c9-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-09-09,Multinational enterprises and intangible capital,,国际合作开放科学与比较,否,https://doi.org/10.1787/6827b3c9-en,https://www.oecd-ilibrary.org/science-and-technology/multinational-enterprises-and-intangible-capital_6827b3c9-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-5872E0CF-EN,C-OECD-DOI-5872E0CF-EN,10.1787/5872e0cf-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-09-15,Shipbuilding policy and market developments in selected economies,,创新政策与研发治理,否,https://doi.org/10.1787/5872e0cf-en,https://www.oecd.org/en/publications/shipbuilding-policy-and-market-developments-in-selected-economies_5872e0cf-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-2E278150-EN,C-OECD-DOI-2E278150-EN,10.1787/2e278150-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-09-22,The human capital behind AI,,技术创新与关键技术,否,https://doi.org/10.1787/2e278150-en,https://www.oecd.org/en/publications/the-human-capital-behind-ai_2e278150-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-3E4AEDD4-EN,C-OECD-DOI-3E4AEDD4-EN,10.1787/3e4aedd4-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-09-22,"Who develops AI-related innovations, goods and services?",,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/3e4aedd4-en,https://www.oecd-ilibrary.org/science-and-technology/who-develops-ai-related-innovations-goods-and-services_3e4aedd4-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-CE813AA5-EN,C-OECD-DOI-CE813AA5-EN,10.1787/ce813aa5-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2021-09-22,Intangibles and industry concentration,,产业创新转化与区域生态,否,https://doi.org/10.1787/ce813aa5-en,https://www.oecd.org/en/publications/intangibles-and-industry-concentration_ce813aa5-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-4AD9D924-EN,C-OECD-DOI-4AD9D924-EN,10.1787/4ad9d924-en,2071-6826,OECD Digital Economy Papers,2021-09-24,Emerging trends in communication market competition,,科学技术创新综合目录,否,https://doi.org/10.1787/4ad9d924-en,https://www.oecd-ilibrary.org/science-and-technology/emerging-trends-in-communication-market-competition_4ad9d924-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-64EB0526-EN,C-OECD-DOI-64EB0526-EN,10.1787/64eb0526-en,2071-6826,OECD Digital Economy Papers,2021-09-24,Implementation and usage of the OECD Recommendation on Broadband Development,,科学技术创新综合目录,否,https://doi.org/10.1787/64eb0526-en,https://www.oecd-ilibrary.org/science-and-technology/implementation-and-usage-of-the-oecd-recommendation-on-broadband-development_64eb0526-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-E273FF77-EN,C-OECD-DOI-E273FF77-EN,10.1787/e273ff77-en,2071-6826,OECD Digital Economy Papers,2021-09-24,Broadband policy and technology developments,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/e273ff77-en,https://www.oecd-ilibrary.org/science-and-technology/broadband-policy-and-technology-developments_e273ff77-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-F97BEAE7-EN,C-OECD-DOI-F97BEAE7-EN,10.1787/f97beae7-en,2071-6826,OECD Digital Economy Papers,2021-09-30,Venture capital investments in artificial intelligence,,技术创新与关键技术；产业创新转化与区域生态,否,https://doi.org/10.1787/f97beae7-en,https://www.oecd.org/en/publications/venture-capital-investments-in-artificial-intelligence_f97beae7-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-D3058F43-EN,C-OECD-DOI-D3058F43-EN,10.1787/d3058f43-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2021-10-08,Methodology for estimation of Energy Physical Supply and Use Tables based on IEA's World Energy Balances,,科学技术创新综合目录,否,https://doi.org/10.1787/d3058f43-en,https://www.oecd.org/en/publications/methodology-for-estimation-of-energy-physical-supply-and-use-tables-based-on-iea-s-world-energy-balances_d3058f43-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-71ADA7D2-EN,C-OECD-DOI-71ADA7D2-EN,10.1787/71ada7d2-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2021-10-11,Development of the OECD Inter Country Input-Output Database 2021,Norihiko Yamano；Joaquim Guilhoto；Ali Alsamawi；Colin Webb；Peter Horvát；Agnès Cimper；Carmen Zürcher；Xue Han,技术创新与关键技术,否,https://doi.org/10.1787/71ada7d2-en,https://www.oecd.org/en/publications/development-of-the-oecd-inter-country-input-output-database-2021_71ada7d2-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-EB0B9988-FR,C-OECD-DOI-EB0B9988-FR,10.1787/eb0b9988-fr,2071-6826,OECD Digital Economy Papers,2021-12-02,Approches actuelles des 50 principaux services mondiaux de partage de contenus en ligne face aux contenus terroristes et extrémistes violents,,科学技术创新综合目录,否,https://doi.org/10.1787/eb0b9988-fr,https://www.oecd-ilibrary.org/science-and-technology/approches-actuelles-des-50-principaux-services-mondiaux-de-partage-de-contenus-en-ligne-face-aux-contenus-terroristes-et-extremistes-violents_eb0b9988-fr,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-4D787B35-EN,C-OECD-DOI-4D787B35-EN,10.1787/4d787b35-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-12-16,Improving knowledge transfer and collaboration between science and business in Spain,,科学体系与基础研究；产业创新转化与区域生态；国际合作开放科学与比较,否,https://doi.org/10.1787/4d787b35-en,https://www.oecd-ilibrary.org/science-and-technology/improving-knowledge-transfer-and-collaboration-between-science-and-business-in-spain_4d787b35-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-A6EDFAB2-EN,C-OECD-DOI-A6EDFAB2-EN,10.1787/a6edfab2-en,2071-6826,OECD Digital Economy Papers,2021-12-20,"Mapping data portability initiatives, opportunities and challenges",,技术创新与关键技术,否,https://doi.org/10.1787/a6edfab2-en,https://www.oecd.org/en/publications/mapping-data-portability-initiatives-opportunities-and-challenges_a6edfab2-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-EE8340C1-EN,C-OECD-DOI-EE8340C1-EN,10.1787/ee8340c1-en,2071-6826,OECD Digital Economy Papers,2021-12-20,Firms going digital,,技术创新与关键技术；产业创新转化与区域生态,否,https://doi.org/10.1787/ee8340c1-en,https://www.oecd-ilibrary.org/science-and-technology/firms-going-digital_ee8340c1-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-88F79EB0-EN,C-OECD-DOI-88F79EB0-EN,10.1787/88f79eb0-en,2071-6826,OECD Digital Economy Papers,2021-12-21,Promoting comparability in personal data breach notification reporting,,技术创新与关键技术,否,https://doi.org/10.1787/88f79eb0-en,https://www.oecd.org/en/publications/promoting-comparability-in-personal-data-breach-notification-reporting_88f79eb0-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-A8FEC2EE-EN,C-OECD-DOI-A8FEC2EE-EN,10.1787/a8fec2ee-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2021-12-21,Improving effectiveness of Lithuania’s innovation policy,,创新政策与研发治理,否,https://doi.org/10.1787/a8fec2ee-en,https://www.oecd.org/en/publications/improving-effectiveness-of-lithuania-s-innovation-policy_a8fec2ee-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-9CE86CA5-EN,C-OECD-DOI-9CE86CA5-EN,10.1787/9ce86ca5-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-01-14,Labour-saving technologies and employment levels,,技术创新与关键技术,否,https://doi.org/10.1787/9ce86ca5-en,https://www.oecd-ilibrary.org/science-and-technology/labour-saving-technologies-and-employment-levels_9ce86ca5-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-CB6D9ECA-EN,C-OECD-DOI-CB6D9ECA-EN,10.1787/cb6d9eca-en,2071-6826,OECD Digital Economy Papers,2022-02-22,OECD Framework for the Classification of AI systems,,技术创新与关键技术,否,https://doi.org/10.1787/cb6d9eca-en,https://www.oecd.org/en/publications/oecd-framework-for-the-classification-of-ai-systems_cb6d9eca-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-F0BB5D8C-EN,C-OECD-DOI-F0BB5D8C-EN,10.1787/f0bb5d8c-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-02-23,Innovation and industrial policies for green hydrogen,,创新政策与研发治理；产业创新转化与区域生态,否,https://doi.org/10.1787/f0bb5d8c-en,https://www.oecd-ilibrary.org/science-and-technology/innovation-and-industrial-policies-for-green-hydrogen_f0bb5d8c-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,已进入清洁能源技术路线与创新政策定点全文；按官方原始资产、净文本和科技创新切片调用,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-E33C281E-EN,C-OECD-DOI-E33C281E-EN,10.1787/e33c281e-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-03-15,Closing the Italian digital gap,,技术创新与关键技术,否,https://doi.org/10.1787/e33c281e-en,https://www.oecd-ilibrary.org/science-and-technology/closing-the-italian-digital-gap_e33c281e-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-18D86753-EN,C-OECD-DOI-18D86753-EN,10.1787/18d86753-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2022-04-12,Brain-computer interfaces and the governance system,,创新政策与研发治理,否,https://doi.org/10.1787/18d86753-en,https://www.oecd-ilibrary.org/science-and-technology/brain-computer-interfaces-and-the-governance-system_18d86753-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-58AA22B1-EN,C-OECD-DOI-58AA22B1-EN,10.1787/58aa22b1-en,1815-1965,"OECD Science, Technology and Industry Working Papers",2022-04-28,"Guide to OECD TiVA Indicators, 2021 edition",,创新政策与研发治理,否,https://doi.org/10.1787/58aa22b1-en,https://www.oecd.org/en/publications/guide-to-oecd-tiva-indicators-2021-edition_58aa22b1-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,e0a1bae13f54a326d73167dcf240f58c62ac1a7547d6903d7e6c8125d41c5dd8,2026-08-22
C-OECD-DOI-0002217C-EN,C-OECD-DOI-0002217C-EN,10.1787/0002217c-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-05-03,An industrial policy framework for OECD countries,,创新政策与研发治理；产业创新转化与区域生态,否,https://doi.org/10.1787/0002217c-en,https://www.oecd.org/en/publications/an-industrial-policy-framework-for-oecd-countries_0002217c-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-57B3DAE2-EN,C-OECD-DOI-57B3DAE2-EN,10.1787/57b3dae2-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-05-03,Are industrial policy instruments effective?,,创新政策与研发治理；产业创新转化与区域生态,否,https://doi.org/10.1787/57b3dae2-en,https://www.oecd.org/en/publications/are-industrial-policy-instruments-effective_57b3dae2-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-AE93DC1D-EN,C-OECD-DOI-AE93DC1D-EN,10.1787/ae93dc1d-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-05-19,"The contribution of RTOs to socio-economic recovery, resilience and transitions",,安全供应链与治理边界（次级）,否,https://doi.org/10.1787/ae93dc1d-en,https://www.oecd.org/en/publications/the-contribution-of-rtos-to-socio-economic-recovery-resilience-and-transitions_ae93dc1d-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-BAFFCECA-EN,C-OECD-DOI-BAFFCECA-EN,10.1787/baffceca-en,2071-6826,OECD Digital Economy Papers,2022-05-20,Assessing national digital strategies and their governance,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/baffceca-en,https://www.oecd-ilibrary.org/science-and-technology/assessing-national-digital-strategies-and-their-governance_baffceca-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-1C416F43-EN,C-OECD-DOI-1C416F43-EN,10.1787/1c416f43-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-06-22,Integrity and security in the global research ecosystem,,科学体系与基础研究；国际合作开放科学与比较；安全供应链与治理边界（次级）,否,https://doi.org/10.1787/1c416f43-en,https://www.oecd-ilibrary.org/science-and-technology/integrity-and-security-in-the-global-research-ecosystem_1c416f43-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-055A8A15-EN,C-OECD-DOI-055A8A15-EN,10.1787/055a8a15-en,2071-6826,OECD Digital Economy Papers,2022-07-07,Policy guidance on consumer product safety pledges,,创新政策与研发治理,否,https://doi.org/10.1787/055a8a15-en,https://www.oecd.org/en/publications/policy-guidance-on-consumer-product-safety-pledges_055a8a15-en.html,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-E511558D-EN,C-OECD-DOI-E511558D-EN,10.1787/e511558d-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-07-07,"Shipbuilding market developments, first semester 2022",,科学技术创新综合目录,否,https://doi.org/10.1787/e511558d-en,https://www.oecd-ilibrary.org/science-and-technology/shipbuilding-market-developments-first-semester-2022_e511558d-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-F3FAEB3D-EN,C-OECD-DOI-F3FAEB3D-EN,10.1787/f3faeb3d-en,2307-4957,"OECD Science, Technology and Industry Policy Papers",2022-07-07,Shipbuilding policy and market developments in selected economies 2022,,创新政策与研发治理,否,https://doi.org/10.1787/f3faeb3d-en,https://www.oecd-ilibrary.org/science-and-technology/shipbuilding-policy-and-market-developments-in-selected-economies-2022_f3faeb3d-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,c51d396460d6e6c2311bd33ef0ad155a6297aadbdd786cfc85a4cf1691e29e13,2026-08-22
C-OECD-DOI-4055C40E-EN,C-OECD-DOI-4055C40E-EN,10.1787/4055c40e-en,2071-6826,OECD Digital Economy Papers,2022-07-13,Measuring financial consumer detriment in e-commerce,,科学技术创新综合目录,否,https://doi.org/10.1787/4055c40e-en,https://www.oecd-ilibrary.org/science-and-technology/measuring-financial-consumer-detriment-in-e-commerce_4055c40e-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-755E2D0C-EN,C-OECD-DOI-755E2D0C-EN,10.1787/755e2d0c-en,2071-6826,OECD Digital Economy Papers,2022-07-20,Broadband networks of the future,,科学技术创新综合目录,否,https://doi.org/10.1787/755e2d0c-en,https://www.oecd-ilibrary.org/science-and-technology/broadband-networks-of-the-future_755e2d0c-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-BD10100F-EN,C-OECD-DOI-BD10100F-EN,10.1787/bd10100f-en,2071-6826,OECD Digital Economy Papers,2022-07-21,The OECD Going Digital Measurement Roadmap,,技术创新与关键技术；创新政策与研发治理,否,https://doi.org/10.1787/bd10100f-en,https://www.oecd-ilibrary.org/science-and-technology/the-oecd-going-digital-measurement-roadmap_bd10100f-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
C-OECD-DOI-9D8CC586-EN,C-OECD-DOI-9D8CC586-EN,10.1787/9d8cc586-en,2071-6826,OECD Digital Economy Papers,2022-07-22,The role of online marketplaces in protecting and empowering consumers,,科学技术创新综合目录,否,https://doi.org/10.1787/9d8cc586-en,https://www.oecd-ilibrary.org/science-and-technology/the-role-of-online-marketplaces-in-protecting-and-empowering-consumers_9d8cc586-en,Organisation for Economic Co-Operation and Development (OECD),DOI注册元数据与OECD正式系列,不自动下载；由机构—节点—主题覆盖缺口触发,fc839c084134edbc6672e64c02e648c1872c7c403c902f505a2ce425b91f11c1,2026-08-22
